Experiment ID                :  scatter
Problem Type                 :  PS
Data Input File Name         :  NA
Number of Runs               :  2
Generations per Run          :  200
Population Size              :  100
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.4
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


 R   2 G 184########### 682409.207   1266.691
 R   2 G 185########### 682370.423   1219.636
 R   2 G 186########### 682137.717    849.543
 R   2 G 187###########  682254.07   1057.494
 R   2 G 188###########  682254.07   1057.494
 R   2 G 189###########  682254.07   1057.494
 R   2 G 190########### 682215.285    994.556
 R   2 G 191########### 682098.932    763.844
 R   2 G 192########### 682098.932    763.844
 R   2 G 193########### 682176.501    925.717
 R   2 G 194########### 682060.148    664.944
 R   2 G 195########### 682021.364    545.716
 R   2 G 196########### 682098.932    763.844
 R   2 G 197########### 682021.364    545.716
 R   2 G 198########### 682098.932    763.844
 R   2 G 199########### 682060.148    664.944
2      0          [          1          4          ,                     1          9          ,                     4          6          ,                     1          7          ,                     2          2          ,                     1          3          ,                     1          2          ,                     3          6          ,                     1          5          ,                     3          ,                     4          1          ,                     9          ,                     1   RawFitness
                  0          1          0          0          0          1          0          0          0          0          0          0          0          1          0          0          0          0          0          0          0          1          0          0          0          1          0          0          0          0          0          0          0          1          0          0          0          0          0          0          0          1          0          0          0          0          0          1       677927

B                 [          4          6          ,                     2          6          ,                     6          ,                     2          1          ,                     4          ,                     1          1          ,                     3          1          ,                     8          ,                     1          8          ,                     1          4          ,                     1          2          ,                     3          6          ,                     4          2   RawFitness
                  0          0          0          0          0          0          0          0          0          0          0          0          0          1          0          0          0          0          0          1          1          0          0          0          1          0          0          0          0          0          1          0          0          0          1          0          0          0          1          0          0          0          0          0          0          0          0          0       675513

Gen                 AvgFit              BestFit 
0              682660.3            676720.51           
1              682655.91           677695.24           
2              682638.78           677695.24           
3              682663.44           677723.74           
4              682747.82           678942.03           
5              682427.19           678942.03           
6              682513.59           678942.03           
7              682497.68           679285.78           
8              682514.07           679301.67           
9              682440.55           680008.65           
10             682517.18           680008.65           
11             682456.55           680008.65           
12             682442.81           680008.65           
13             682441.92           680065.76           
14             682419.03           680065.76           
15             682533.5            680065.76           
16             682480.49           680065.76           
17             682496.25           680065.76           
18             682537.85           680065.76           
19             682457.06           680065.76           
20             682334.76           680305.65           
21             682323.48           680305.65           
22             682391.32           680305.65           
23             682416.93           680305.65           
24             682440.8            680305.65           
25             682525.68           680305.65           
26             682627.61           680305.65           
27             682522.75           680305.65           
28             682499.49           680305.65           
29             682700.45           680305.65           
30             682568.41           680438.64           
31             682650.02           680438.64           
32             682743.99           680438.64           
33             682762.66           680438.64           
34             682662.81           680438.64           
35             682773.62           680438.64           
36             682470.78           680438.64           
37             682300.83           680438.64           
38             682193.77           680438.64           
39             682279.55           680438.64           
40             682428.56           680438.64           
41             682351.17           680438.64           
42             682358.76           680438.64           
43             682563.39           680438.64           
44             682558.49           680438.64           
45             682703.3            680438.64           
46             682783.57           680438.64           
